Year,Series,REF_AREA,URBANISATION,Units,Value
2012,SP_ACS_BSRVSAN,,R,PT,44.67914
2013,SP_ACS_BSRVSAN,,R,PT,47.77822
2014,SP_ACS_BSRVSAN,,R,PT,50.94049
2015,SP_ACS_BSRVSAN,,R,PT,54.16592
2016,SP_ACS_BSRVSAN,,R,PT,57.45453
2017,SP_ACS_BSRVSAN,,R,PT,60.80631
2000,SP_ACS_BSRVSAN,,U,PT,32.6204
2001,SP_ACS_BSRVSAN,,U,PT,34.3747
2002,SP_ACS_BSRVSAN,,U,PT,36.16439
2003,SP_ACS_BSRVSAN,,U,PT,37.98947
2004,SP_ACS_BSRVSAN,,U,PT,39.84995
2005,SP_ACS_BSRVSAN,,U,PT,41.74582
2006,SP_ACS_BSRVSAN,,U,PT,43.67708
2007,SP_ACS_BSRVSAN,,U,PT,45.64374
2008,SP_ACS_BSRVSAN,,U,PT,47.64578
2009,SP_ACS_BSRVSAN,,U,PT,49.68322
2010,SP_ACS_BSRVSAN,,U,PT,51.75606
2011,SP_ACS_BSRVSAN,,U,PT,53.86428
2012,SP_ACS_BSRVSAN,,U,PT,56.0079
2013,SP_ACS_BSRVSAN,,U,PT,58.18691
2014,SP_ACS_BSRVSAN,,U,PT,60.40132
2015,SP_ACS_BSRVSAN,,U,PT,62.65111
2016,SP_ACS_BSRVSAN,,U,PT,64.9363
2017,SP_ACS_BSRVSAN,,U,PT,67.25689
