Year,Series,REF_AREA,Units,Value
2014,VC_DSR_PDAN,524,NUMBER,120514.0
2015,VC_DSR_PDAN,524,NUMBER,1479914.0
2016,VC_DSR_PDAN,524,NUMBER,5980.0
2017,VC_DSR_PDAN,524,NUMBER,805169.0
2018,VC_DSR_PDAN,524,NUMBER,9187.0
2019,VC_DSR_PDAN,524,NUMBER,33551.0
2005,VC_DSR_PDLN,524,NUMBER,54.0
2006,VC_DSR_PDLN,524,NUMBER,247335.0
2007,VC_DSR_PDLN,524,NUMBER,19634.0
2008,VC_DSR_PDLN,524,NUMBER,304190.0
2009,VC_DSR_PDLN,524,NUMBER,132266.0
2010,VC_DSR_PDLN,524,NUMBER,37947.0
2011,VC_DSR_PDLN,524,NUMBER,3167.0
2012,VC_DSR_PDLN,524,NUMBER,13952.0
2013,VC_DSR_PDLN,524,NUMBER,12849.0
2014,VC_DSR_PDLN,524,NUMBER,194283.0
2015,VC_DSR_PDLN,524,NUMBER,4936439.0
2016,VC_DSR_PDLN,524,NUMBER,61092.0
2017,VC_DSR_PDLN,524,NUMBER,93076.0
2018,VC_DSR_PDLN,524,NUMBER,39933.0
2019,VC_DSR_PDLN,524,NUMBER,123288.0
2005,VC_DSR_PDYN,524,NUMBER,5796.0
2006,VC_DSR_PDYN,524,NUMBER,10496.0
2007,VC_DSR_PDYN,524,NUMBER,51505.0
2008,VC_DSR_PDYN,524,NUMBER,87290.0
2009,VC_DSR_PDYN,524,NUMBER,20485.0
2010,VC_DSR_PDYN,524,NUMBER,29031.0
2011,VC_DSR_PDYN,524,NUMBER,7083.0
2012,VC_DSR_PDYN,524,NUMBER,20708.0
2013,VC_DSR_PDYN,524,NUMBER,11911.0
2014,VC_DSR_PDYN,524,NUMBER,48983.0
2015,VC_DSR_PDYN,524,NUMBER,3791246.0
2016,VC_DSR_PDYN,524,NUMBER,16744.0
2017,VC_DSR_PDYN,524,NUMBER,212613.0
2018,VC_DSR_PDYN,524,NUMBER,12233.0
2019,VC_DSR_PDYN,524,NUMBER,24110.0
