Year,Value,Units,Series
2012,104036400.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2013,59395050.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2014,381645412.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2015,20074296712.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2016,87988688.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2017,2009451900.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2018,3891140.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2019,27742276.0,USD,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)"
2006,1.0,Number,Number of disruptions to health services attributed to disasters
2007,4.0,Number,Number of disruptions to health services attributed to disasters
2008,12.0,Number,Number of disruptions to health services attributed to disasters
2009,4.0,Number,Number of disruptions to health services attributed to disasters
2010,3.0,Number,Number of disruptions to health services attributed to disasters
2015,1.0,Number,Number of disruptions to health services attributed to disasters
2017,1.0,Number,Number of disruptions to health services attributed to disasters
2005,0.00507,Percent,Direct economic loss attributed to disasters relative to GDP
2006,0.01318,Percent,Direct economic loss attributed to disasters relative to GDP
2007,0.02184,Percent,Direct economic loss attributed to disasters relative to GDP
2008,0.03785,Percent,Direct economic loss attributed to disasters relative to GDP
2009,0.01328,Percent,Direct economic loss attributed to disasters relative to GDP
2010,0.01846,Percent,Direct economic loss attributed to disasters relative to GDP
2011,0.00209,Percent,Direct economic loss attributed to disasters relative to GDP
2012,0.00587,Percent,Direct economic loss attributed to disasters relative to GDP
2013,0.00331,Percent,Direct economic loss attributed to disasters relative to GDP
2014,0.01905,Percent,Direct economic loss attributed to disasters relative to GDP
2015,1.09177,Percent,Direct economic loss attributed to disasters relative to GDP
2016,0.06472,Percent,Direct economic loss attributed to disasters relative to GDP
2017,0.12264,Percent,Direct economic loss attributed to disasters relative to GDP
2018,0.00078,Percent,Direct economic loss attributed to disasters relative to GDP
2019,0.00093,Percent,Direct economic loss attributed to disasters relative to GDP
2011,0.0,Number,Number of disruptions to other basic services attributed to disasters
2012,0.0,Number,Number of disruptions to other basic services attributed to disasters
2013,1.0,Number,Number of disruptions to other basic services attributed to disasters
2014,1.0,Number,Number of disruptions to other basic services attributed to disasters
2015,1.0,Number,Number of disruptions to other basic services attributed to disasters
2016,0.0,Number,Number of disruptions to other basic services attributed to disasters
2017,1.0,Number,Number of disruptions to other basic services attributed to disasters
2018,2.0,Number,Number of disruptions to other basic services attributed to disasters
2019,0.0,Number,Number of disruptions to other basic services attributed to disasters
