Year,Value,Units,Series
2019,530.0,Number,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2005,333.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2006,599.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2007,637.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2008,936.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2009,1260.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2010,1002.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2011,418.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2012,442.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2013,456.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2014,503.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2015,9248.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2016,450.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2017,490.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2018,478.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2019,489.0,Number,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]"
2005,1.77206,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2006,2.82638,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2007,2.90404,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2008,4.16997,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2009,5.4286,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2010,4.37651,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2011,2.08723,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2012,1.83083,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2013,2.34799,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2014,2.83585,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2015,33.74004,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2016,1.74806,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2017,1.9323,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2018,1.66673,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2019,1.85258,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2005,2156.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2006,46363.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2007,7985.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2008,17898.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2009,49702.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2010,153066.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2011,3334.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2012,3983.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2013,1918.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2014,120514.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2015,1479914.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2016,5980.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2017,805169.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2018,9187.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,33551.0,Number,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2005,54.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2006,247335.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2007,19634.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2008,304190.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2009,132266.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2010,37947.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2011,3167.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2012,13952.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2013,12849.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2014,194283.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2015,4936439.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2016,61092.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2017,93076.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2018,39933.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,123288.0,Number,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2005,5796.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2006,10496.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2007,51505.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2008,87290.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2009,20485.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2010,29031.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2011,7083.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2012,20708.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2013,11911.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2014,48983.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2015,3791246.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2016,16744.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2017,212613.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2018,12233.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
2019,24110.0,Number,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]"
