Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2001,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",53.0
2002,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",50.5
2003,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",48.1
2004,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",45.7
2005,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",43.5
2006,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",41.4
2007,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",39.4
2008,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",37.5
2009,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",35.8
2010,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",34.1
2011,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",32.6
2012,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",31.0
2013,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",29.6
2014,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",28.3
2015,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",27.1
2016,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",26.0
2017,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",25.0
2018,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",24.1
2019,Infant mortality rate,,Female,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",23.3
2000,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",63.8
2001,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",60.8
2002,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",57.9
2003,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",55.2
2004,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",52.7
2005,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",50.3
2006,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",48.1
2007,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",45.9
2008,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",43.8
2009,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",41.9
2010,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",40.0
2011,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",38.2
2012,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",36.5
2013,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",34.9
2014,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",33.4
2015,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",32.1
2016,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",30.9
2017,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",29.7
2018,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",28.7
2019,Infant mortality rate,,Male,under 1 year old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",27.8
2000,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,44961.0
2001,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,42049.0
2002,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,39213.0
2003,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,36516.0
2004,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,33988.0
2005,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,31634.0
2006,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,29474.0
2007,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,27497.0
2008,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,25707.0
2009,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,24085.0
2010,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,22600.0
2011,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,21243.0
2012,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,20002.0
2013,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,18868.0
2014,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,17848.0
2015,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,16962.0
2016,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,16165.0
2017,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,15473.0
2018,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,14880.0
2019,Infant deaths (number),,None,under 1 year old,None,None,None,None,None,None,None,None,None,Number,14362.0
2000,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,20209.0
2001,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,18871.0
2002,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,17591.0
2003,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,16391.0
2004,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,15246.0
2005,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,14188.0
2006,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,13218.0
2007,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,12331.0
2008,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,11526.0
2009,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,10798.0
2010,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,10128.0
2011,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,9518.0
2012,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,8944.0
2013,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,8418.0
2014,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,7945.0
2015,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,7534.0
2016,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,7156.0
2017,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,6844.0
2018,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,6557.0
2019,Infant deaths (number),,Female,under 1 year old,None,None,None,None,None,None,None,None,None,Number,6328.0
2000,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,24752.0
2001,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,23178.0
2002,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,21622.0
2003,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,20125.0
2004,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,18742.0
2005,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,17446.0
2006,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,16256.0
2007,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,15166.0
2008,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,14181.0
2009,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,13287.0
2010,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,12472.0
2011,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,11725.0
2012,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,11058.0
2013,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,10450.0
2014,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,9903.0
2015,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,9428.0
2016,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,9009.0
2017,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,8629.0
2018,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,8323.0
2019,Infant deaths (number),,Male,under 1 year old,None,None,None,None,None,None,None,None,None,Number,8034.0
2000,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",81.0
2001,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",76.5
2002,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",72.2
2003,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",68.2
2004,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",64.5
2005,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",61.0
2006,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",57.7
2007,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",54.7
2008,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",51.8
2009,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",49.2
2010,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",46.6
2011,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",44.2
2012,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",42.0
2013,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",39.9
2014,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",37.9
2015,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",36.2
2016,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",34.6
2017,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",33.2
2018,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",31.9
2019,Under-five mortality rate,,None,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",30.8
2000,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",78.9
2001,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",74.3
2002,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",70.0
2003,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",65.9
2004,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",62.1
2005,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",58.5
2006,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",55.2
2007,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",52.1
2008,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",49.2
2009,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",46.6
2010,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",44.1
2011,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",41.7
2012,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",39.5
2013,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",37.4
2014,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",35.5
2015,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",33.8
2016,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",32.2
2017,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",30.9
2018,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",29.6
2019,Under-five mortality rate,,Female,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",28.5
2000,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",83.0
2001,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",78.5
2002,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",74.4
2003,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",70.4
2004,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",66.8
2005,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",63.4
2006,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",60.2
2007,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",57.1
2008,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",54.3
2009,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",51.6
2010,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",49.0
2011,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",46.6
2012,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",44.3
2013,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",42.2
2014,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",40.2
2015,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",38.5
2016,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",36.9
2017,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",35.4
2018,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",34.1
2019,Under-five mortality rate,,Male,under 5 years old,None,None,None,None,None,None,None,None,None,"Per 1,000 live births",32.9
2000,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,61174.0
2001,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,56907.0
2002,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,52739.0
2003,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,48775.0
2004,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,45069.0
2005,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,41644.0
2006,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,38514.0
2007,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,35663.0
2008,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,33090.0
2009,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,30776.0
2010,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,28667.0
2011,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,26748.0
2012,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,25010.0
2013,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,23424.0
2014,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,22023.0
2015,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,20811.0
2016,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,19715.0
2017,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,18790.0
2018,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,17994.0
2019,Under-five deaths (number),,None,under 5 years old,None,None,None,None,None,None,None,None,None,Number,17296.0
2000,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,28789.0
2001,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,26711.0
2002,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,24693.0
2003,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,22798.0
2004,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,21013.0
2005,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,19376.0
2006,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,17885.0
2007,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,16537.0
2008,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,15296.0
2009,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,14231.0
2010,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,13228.0
2011,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,12309.0
2012,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,11471.0
2013,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,10715.0
2014,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,10031.0
2015,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,9453.0
2016,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,8911.0
2017,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,8485.0
2018,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,8091.0
2019,Under-five deaths (number),,Female,under 5 years old,None,None,None,None,None,None,None,None,None,Number,7755.0
2000,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,32385.0
2001,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,30196.0
2002,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,28046.0
2003,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,25977.0
2004,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,24056.0
2005,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,22268.0
2006,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,20629.0
2007,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,19126.0
2008,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,17794.0
2009,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,16545.0
2010,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,15439.0
2011,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,14439.0
2012,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,13539.0
2013,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,12709.0
2014,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,11992.0
2015,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,11358.0
2016,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,10804.0
2017,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,10305.0
2018,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,9903.0
2019,Under-five deaths (number),,Male,under 5 years old,None,None,None,None,None,None,None,None,None,Number,9541.0
