Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2016,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,46.0
2017,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,6532.0
2018,Number of damaged critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,304.0
2016,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,46.0
2017,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,5421.0
2018,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,304.0
2015,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,87300000.0
2016,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,3185040.0
2017,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,4750000.0
2005,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,4855062.0
2006,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,1380.0
2007,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,1469802.0
2008,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,6842509.0
2009,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,4958950.0
2010,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,1822486.0
2015,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,593721878.0
2016,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,16333447.0
2017,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,221556150.0
2018,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,6058862.0
2015,Direct economic loss to other damaged or destroyed productive assets attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,USD,1448898700.0
2005,Number of destroyed or damaged educational facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,20.0
2007,Number of destroyed or damaged educational facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,31.0
2008,Number of destroyed or damaged educational facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,67.0
2009,Number of destroyed or damaged educational facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,104.0
2010,Number of destroyed or damaged educational facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,38.0
2015,Number of destroyed or damaged educational facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,51277.0
2017,Number of destroyed or damaged educational facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1012.0
2005,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,14.0
2006,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,8.0
2007,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,38.0
2008,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,74.0
2009,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,66.0
2010,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,62.0
2015,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2017,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2018,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,2.0
2019,Number of disruptions to educational services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,2.0
2007,Number of destroyed or damaged health facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2008,Number of destroyed or damaged health facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,9.0
2009,Number of destroyed or damaged health facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,4.0
2010,Number of destroyed or damaged health facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2015,Number of destroyed or damaged health facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,446.0
2017,Number of destroyed or damaged health facilities attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,99.0
2005,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,36584625.0
2006,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,93670500.0
2007,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,228373125.0
2008,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,391704375.0
2009,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,140482312.0
2010,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,289118700.0
2011,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,37948950.0
2012,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,104036400.0
2013,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,59395050.0
2014,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,381645412.0
2015,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,20074296712.0
2016,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,87988688.0
2017,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,2009451900.0
2018,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,3891140.0
2019,"Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)",,None,None,None,None,None,None,None,None,None,None,None,USD,27742276.0
2006,Number of disruptions to health services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2007,Number of disruptions to health services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,4.0
2008,Number of disruptions to health services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,12.0
2009,Number of disruptions to health services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,4.0
2010,Number of disruptions to health services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,3.0
2015,Number of disruptions to health services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2017,Number of disruptions to health services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2005,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.00507
2006,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.01318
2007,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.02184
2008,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.03785
2009,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.01328
2010,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.01846
2011,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.00209
2012,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.00587
2013,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.00331
2014,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.01905
2015,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,1.09177
2016,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.06472
2017,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.12264
2018,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.00078
2019,Direct economic loss attributed to disasters relative to GDP,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.00093
2011,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,0.0
2012,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,0.0
2013,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2014,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2015,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2016,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,0.0
2017,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,1.0
2018,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,2.0
2019,Number of disruptions to other basic services attributed to disasters,,None,None,None,None,None,None,None,None,None,None,None,Number,0.0
