Year,Series,Reference area,Composite breakdown,Units,Value
2010,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: Asian Development Bank,Percent,0.432
2015,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: Asian Development Bank,Percent,0.416
2016,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: Asian Development Bank,Percent,0.416
2017,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: Asian Development Bank,Percent,0.416
2018,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: Asian Development Bank,Percent,0.41585
2015,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN Economic and Social Council,Percent,1.85185
2000,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Bank for Reconstruction and Development,Percent,0.07567
2005,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Bank for Reconstruction and Development,Percent,0.07525
2010,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Bank for Reconstruction and Development,Percent,0.07513
2015,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Bank for Reconstruction and Development,Percent,0.07314
2016,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Bank for Reconstruction and Development,Percent,0.07
2017,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Bank for Reconstruction and Development,Percent,0.08889
2018,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Bank for Reconstruction and Development,Percent,0.08763
2019,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Bank for Reconstruction and Development,Percent,0.08656
2000,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Finance Corporation,Percent,0.04465
2005,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Finance Corporation,Percent,0.04451
2010,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Finance Corporation,Percent,0.04439
2015,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Finance Corporation,Percent,0.0605
2016,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Finance Corporation,Percent,0.0605
2017,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Finance Corporation,Percent,0.0605
2018,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Finance Corporation,Percent,0.06043
2019,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Finance Corporation,Percent,0.05985
2000,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Monetary Fund,Percent,0.04498
2005,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Monetary Fund,Percent,0.04427
2010,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Monetary Fund,Percent,0.04348
2015,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Monetary Fund,Percent,0.05757
2016,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Monetary Fund,Percent,0.061
2017,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Monetary Fund,Percent,0.06029
2018,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Monetary Fund,Percent,0.0603
2019,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: International Monetary Fund,Percent,0.06028
2000,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN General Assembly,Percent,0.5291
2005,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN General Assembly,Percent,0.52356
2010,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN General Assembly,Percent,0.52083
2015,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN General Assembly,Percent,0.51813
2016,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN General Assembly,Percent,0.51813
2017,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN General Assembly,Percent,0.51813
2018,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN General Assembly,Percent,0.51813
2019,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: UN General Assembly,Percent,0.51813
2000,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: World Trade Organisation,Percent,0.0
2005,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: World Trade Organisation,Percent,0.67114
2010,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: World Trade Organisation,Percent,0.65359
2015,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: World Trade Organisation,Percent,0.625
2016,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: World Trade Organisation,Percent,0.61728
2017,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: World Trade Organisation,Percent,0.60976
2018,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: World Trade Organisation,Percent,0.60976
2019,"Proportion of voting rights of developing countries in international organizations, by organization",,International Organisation: World Trade Organisation,Percent,0.60976
