Year,Series,Reference area,Economic activity,Units,Value
2008,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,0.753
2009,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,0.758
2010,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,1.226
2011,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,1.446
2012,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,1.732
2013,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,1.346
2014,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,1.943
2015,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,2.232
2016,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,2.779
2017,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,3.192
2018,Carbon dioxide emissions from fuel combustion [9.4.1],,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,3.406
2000,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.07151
2001,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.07373
2002,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.05871
2003,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.06143
2004,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.05448
2005,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.06002
2006,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.04724
2007,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.04709
2008,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.04961
2009,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.0564
2010,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.06476
2011,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.06691
2012,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.07208
2013,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.06885
2014,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.07815
2015,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.07239
2016,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.10748
2017,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.11905
2018,Carbon dioxide emissions per unit of GDP [9.4.1],,,Kilograms per constant USD,0.12244
2000,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.247
2001,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.368
2002,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,0.726
2003,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,0.88
2004,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,0.737
2005,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.111
2006,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,0.659
2007,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,0.841
2008,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,0.788
2009,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,0.801
2010,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.259
2011,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.427
2012,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.649
2013,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.236
2014,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.679
2015,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,1.921
2016,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,2.6
2017,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,2.722
2018,Carbon dioxide emissions per unit of manufacturing value added [9.4.1],,,Kilograms per constant USD,2.661
